"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2007","Belgium","Live bovine animals","December","Thousand head (animals)","2,573.35",""
"2008","Belgium","Live bovine animals","December","Thousand head (animals)","2,538.3",""
"2009","Belgium","Live bovine animals","December","Thousand head (animals)","2,535.44",""
"2010","Belgium","Live bovine animals","December","Thousand head (animals)","2,509.54",""
"2011","Belgium","Live bovine animals","December","Thousand head (animals)","2,471.6",""
"2012","Belgium","Live bovine animals","December","Thousand head (animals)","2,438.18",""
"2013","Belgium","Live bovine animals","December","Thousand head (animals)","2,441.32","p"
"2007","Bulgaria","Live bovine animals","December","Thousand head (animals)","611.02",""
"2008","Bulgaria","Live bovine animals","December","Thousand head (animals)","574.13",""
"2009","Bulgaria","Live bovine animals","December","Thousand head (animals)","547.87",""
"2010","Bulgaria","Live bovine animals","December","Thousand head (animals)","553.7",""
"2011","Bulgaria","Live bovine animals","December","Thousand head (animals)","567.53",""
"2012","Bulgaria","Live bovine animals","December","Thousand head (animals)","535.32",""
"2013","Bulgaria","Live bovine animals","December","Thousand head (animals)","585.55",""
"2007","Czech Republic","Live bovine animals","December","Thousand head (animals)","1,366.71",""
"2008","Czech Republic","Live bovine animals","December","Thousand head (animals)","1,357.8",""
"2009","Czech Republic","Live bovine animals","December","Thousand head (animals)","1,355.58",""
"2010","Czech Republic","Live bovine animals","December","Thousand head (animals)","1,319.41",""
"2011","Czech Republic","Live bovine animals","December","Thousand head (animals)","1,339.48",""
"2012","Czech Republic","Live bovine animals","December","Thousand head (animals)","1,321.06",""
"2013","Czech Republic","Live bovine animals","December","Thousand head (animals)","1,332.08",""
"2007","Denmark","Live bovine animals","December","Thousand head (animals)","1,545",""
"2008","Denmark","Live bovine animals","December","Thousand head (animals)","1,599",""
"2009","Denmark","Live bovine animals","December","Thousand head (animals)","1,621",""
"2010","Denmark","Live bovine animals","December","Thousand head (animals)","1,630",""
"2011","Denmark","Live bovine animals","December","Thousand head (animals)","1,612",""
"2012","Denmark","Live bovine animals","December","Thousand head (animals)","1,607",""
"2013","Denmark","Live bovine animals","December","Thousand head (animals)","1,583",""
"2007","Germany (until 1990 former territory of the FRG)","Live bovine animals","December","Thousand head (animals)","12,707.3",""
"2008","Germany (until 1990 former territory of the FRG)","Live bovine animals","December","Thousand head (animals)","12,987.54",""
"2009","Germany (until 1990 former territory of the FRG)","Live bovine animals","December","Thousand head (animals)","12,897.17",""
"2010","Germany (until 1990 former territory of the FRG)","Live bovine animals","December","Thousand head (animals)","12,706.23",""
"2011","Germany (until 1990 former territory of the FRG)","Live bovine animals","December","Thousand head (animals)","12,527.84",""
"2012","Germany (until 1990 former territory of the FRG)","Live bovine animals","December","Thousand head (animals)","12,506.77",""
"2013","Germany (until 1990 former territory of the FRG)","Live bovine animals","December","Thousand head (animals)","12,685.99",""
"2007","Estonia","Live bovine animals","December","Thousand head (animals)","240.5",""
"2008","Estonia","Live bovine animals","December","Thousand head (animals)","237.9",""
"2009","Estonia","Live bovine animals","December","Thousand head (animals)","234.7",""
"2010","Estonia","Live bovine animals","December","Thousand head (animals)","236.3",""
"2011","Estonia","Live bovine animals","December","Thousand head (animals)","238.3",""
"2012","Estonia","Live bovine animals","December","Thousand head (animals)","246",""
"2013","Estonia","Live bovine animals","December","Thousand head (animals)","261.4",""
"2007","Ireland","Live bovine animals","December","Thousand head (animals)","6,247.58",""
"2008","Ireland","Live bovine animals","December","Thousand head (animals)","6,303.86",""
"2009","Ireland","Live bovine animals","December","Thousand head (animals)","6,231.68",""
"2010","Ireland","Live bovine animals","December","Thousand head (animals)","5,917.7",""
"2011","Ireland","Live bovine animals","December","Thousand head (animals)","5,925.32",""
"2012","Ireland","Live bovine animals","December","Thousand head (animals)","6,253.24",""
"2013","Ireland","Live bovine animals","December","Thousand head (animals)","6,309.05",""
"2007","Greece","Live bovine animals","December","Thousand head (animals)","682","p"
"2008","Greece","Live bovine animals","December","Thousand head (animals)","682","p"
"2009","Greece","Live bovine animals","December","Thousand head (animals)","675","p"
"2010","Greece","Live bovine animals","December","Thousand head (animals)","679","p"
"2011","Greece","Live bovine animals","December","Thousand head (animals)","681",""
"2012","Greece","Live bovine animals","December","Thousand head (animals)","685",""
"2013","Greece","Live bovine animals","December","Thousand head (animals)","653","p"
"2007","Spain","Live bovine animals","December","Thousand head (animals)","6,584.98",""
"2008","Spain","Live bovine animals","December","Thousand head (animals)","6,020.16",""
"2009","Spain","Live bovine animals","December","Thousand head (animals)","6,082.44",""
"2010","Spain","Live bovine animals","December","Thousand head (animals)","6,075.08",""
"2011","Spain","Live bovine animals","December","Thousand head (animals)","5,923.11",""
"2012","Spain","Live bovine animals","December","Thousand head (animals)","5,812.61",""
"2013","Spain","Live bovine animals","December","Thousand head (animals)","5,696.91",""
"2007","France","Live bovine animals","December","Thousand head (animals)","19,124",""
"2008","France","Live bovine animals","December","Thousand head (animals)","20,028","p"
"2009","France","Live bovine animals","December","Thousand head (animals)","19,842",""
"2010","France","Live bovine animals","December","Thousand head (animals)","19,599",""
"2011","France","Live bovine animals","December","Thousand head (animals)","19,129",""
"2012","France","Live bovine animals","December","Thousand head (animals)","19,052",""
"2013","France","Live bovine animals","December","Thousand head (animals)","19,129",""
"2007","Croatia","Live bovine animals","December","Thousand head (animals)","467.08",""
"2008","Croatia","Live bovine animals","December","Thousand head (animals)","453.6",""
"2009","Croatia","Live bovine animals","December","Thousand head (animals)","447.1",""
"2010","Croatia","Live bovine animals","December","Thousand head (animals)","444.3",""
"2011","Croatia","Live bovine animals","December","Thousand head (animals)","446.5","p"
"2012","Croatia","Live bovine animals","December","Thousand head (animals)","452",""
"2013","Croatia","Live bovine animals","December","Thousand head (animals)","442",""
"2007","Italy","Live bovine animals","December","Thousand head (animals)","6,577",""
"2008","Italy","Live bovine animals","December","Thousand head (animals)","6,486.27",""
"2009","Italy","Live bovine animals","December","Thousand head (animals)","6,446.74",""
"2010","Italy","Live bovine animals","December","Thousand head (animals)","5,832.46",""
"2011","Italy","Live bovine animals","December","Thousand head (animals)","6,251.93",""
"2012","Italy","Live bovine animals","December","Thousand head (animals)",":",""
"2013","Italy","Live bovine animals","December","Thousand head (animals)","6,249.29",""
"2007","Cyprus","Live bovine animals","December","Thousand head (animals)","55.92",""
"2008","Cyprus","Live bovine animals","December","Thousand head (animals)","55.59",""
"2009","Cyprus","Live bovine animals","December","Thousand head (animals)","54.1",""
"2010","Cyprus","Live bovine animals","December","Thousand head (animals)","54.72",""
"2011","Cyprus","Live bovine animals","December","Thousand head (animals)","56.92",""
"2012","Cyprus","Live bovine animals","December","Thousand head (animals)","56.92",""
"2013","Cyprus","Live bovine animals","December","Thousand head (animals)","57.08","p"
"2007","Latvia","Live bovine animals","December","Thousand head (animals)","398.7",""
"2008","Latvia","Live bovine animals","December","Thousand head (animals)","380.23",""
"2009","Latvia","Live bovine animals","December","Thousand head (animals)","378.21",""
"2010","Latvia","Live bovine animals","December","Thousand head (animals)","379.49",""
"2011","Latvia","Live bovine animals","December","Thousand head (animals)","380.61",""
"2012","Latvia","Live bovine animals","December","Thousand head (animals)","393.1",""
"2013","Latvia","Live bovine animals","December","Thousand head (animals)","406.49",""
"2007","Lithuania","Live bovine animals","December","Thousand head (animals)","787.9",""
"2008","Lithuania","Live bovine animals","December","Thousand head (animals)","770.9",""
"2009","Lithuania","Live bovine animals","December","Thousand head (animals)","759.4",""
"2010","Lithuania","Live bovine animals","December","Thousand head (animals)","748",""
"2011","Lithuania","Live bovine animals","December","Thousand head (animals)","752.4",""
"2012","Lithuania","Live bovine animals","December","Thousand head (animals)","729.2",""
"2013","Lithuania","Live bovine animals","December","Thousand head (animals)","713.5",""
"2007","Luxembourg","Live bovine animals","December","Thousand head (animals)","193.14",""
"2008","Luxembourg","Live bovine animals","December","Thousand head (animals)","196.3",""
"2009","Luxembourg","Live bovine animals","December","Thousand head (animals)","194.86",""
"2010","Luxembourg","Live bovine animals","December","Thousand head (animals)","194.01",""
"2011","Luxembourg","Live bovine animals","December","Thousand head (animals)","188.09",""
"2012","Luxembourg","Live bovine animals","December","Thousand head (animals)","188.3",""
"2013","Luxembourg","Live bovine animals","December","Thousand head (animals)","198.24",""
"2007","Hungary","Live bovine animals","December","Thousand head (animals)","705",""
"2008","Hungary","Live bovine animals","December","Thousand head (animals)","701",""
"2009","Hungary","Live bovine animals","December","Thousand head (animals)","700",""
"2010","Hungary","Live bovine animals","December","Thousand head (animals)","682",""
"2011","Hungary","Live bovine animals","December","Thousand head (animals)","697",""
"2012","Hungary","Live bovine animals","December","Thousand head (animals)","760",""
"2013","Hungary","Live bovine animals","December","Thousand head (animals)","772",""
"2007","Malta","Live bovine animals","December","Thousand head (animals)","19.44",""
"2008","Malta","Live bovine animals","December","Thousand head (animals)","17.78",""
"2009","Malta","Live bovine animals","December","Thousand head (animals)","16.26",""
"2010","Malta","Live bovine animals","December","Thousand head (animals)","14.95",""
"2011","Malta","Live bovine animals","December","Thousand head (animals)","15.07",""
"2012","Malta","Live bovine animals","December","Thousand head (animals)","15.59",""
"2013","Malta","Live bovine animals","December","Thousand head (animals)","15.22",""
"2007","Netherlands","Live bovine animals","December","Thousand head (animals)","3,820",""
"2008","Netherlands","Live bovine animals","December","Thousand head (animals)","3,996","p"
"2009","Netherlands","Live bovine animals","December","Thousand head (animals)","3,998",""
"2010","Netherlands","Live bovine animals","December","Thousand head (animals)","3,960",""
"2011","Netherlands","Live bovine animals","December","Thousand head (animals)","3,912",""
"2012","Netherlands","Live bovine animals","December","Thousand head (animals)","3,985",""
"2013","Netherlands","Live bovine animals","December","Thousand head (animals)","4,090",""
"2007","Austria","Live bovine animals","December","Thousand head (animals)","2,000.2",""
"2008","Austria","Live bovine animals","December","Thousand head (animals)","1,997.21",""
"2009","Austria","Live bovine animals","December","Thousand head (animals)","2,026.26",""
"2010","Austria","Live bovine animals","December","Thousand head (animals)","2,013.28",""
"2011","Austria","Live bovine animals","December","Thousand head (animals)","1,976.53",""
"2012","Austria","Live bovine animals","December","Thousand head (animals)","1,955.62",""
"2013","Austria","Live bovine animals","December","Thousand head (animals)","1,958.28",""
"2007","Poland","Live bovine animals","December","Thousand head (animals)","5,405.55",""
"2008","Poland","Live bovine animals","December","Thousand head (animals)","5,563.56",""
"2009","Poland","Live bovine animals","December","Thousand head (animals)","5,590.22",""
"2010","Poland","Live bovine animals","December","Thousand head (animals)","5,561.75",""
"2011","Poland","Live bovine animals","December","Thousand head (animals)","5,500.94",""
"2012","Poland","Live bovine animals","December","Thousand head (animals)","5,520.35",""
"2013","Poland","Live bovine animals","December","Thousand head (animals)","5,589.54",""
"2007","Portugal","Live bovine animals","December","Thousand head (animals)","1,491.5",""
"2008","Portugal","Live bovine animals","December","Thousand head (animals)","1,495.28",""
"2009","Portugal","Live bovine animals","December","Thousand head (animals)","1,446.51",""
"2010","Portugal","Live bovine animals","December","Thousand head (animals)","1,502.76",""
"2011","Portugal","Live bovine animals","December","Thousand head (animals)","1,519.11",""
"2012","Portugal","Live bovine animals","December","Thousand head (animals)","1,497.55",""
"2013","Portugal","Live bovine animals","December","Thousand head (animals)","1,470.5",""
"2007","Romania","Live bovine animals","December","Thousand head (animals)","2,819",""
"2008","Romania","Live bovine animals","December","Thousand head (animals)","2,683.6",""
"2009","Romania","Live bovine animals","December","Thousand head (animals)","2,512.3",""
"2010","Romania","Live bovine animals","December","Thousand head (animals)","2,001.1",""
"2011","Romania","Live bovine animals","December","Thousand head (animals)","1,988.9",""
"2012","Romania","Live bovine animals","December","Thousand head (animals)","2,009.1",""
"2013","Romania","Live bovine animals","December","Thousand head (animals)","2,022.4",""
"2007","Slovenia","Live bovine animals","December","Thousand head (animals)","479.53","p"
"2008","Slovenia","Live bovine animals","December","Thousand head (animals)","470.01","p"
"2009","Slovenia","Live bovine animals","December","Thousand head (animals)","472.88",""
"2010","Slovenia","Live bovine animals","December","Thousand head (animals)","470.15",""
"2011","Slovenia","Live bovine animals","December","Thousand head (animals)","462.3",""
"2012","Slovenia","Live bovine animals","December","Thousand head (animals)","460.06",""
"2013","Slovenia","Live bovine animals","December","Thousand head (animals)","460.58",""
"2007","Slovakia","Live bovine animals","December","Thousand head (animals)","501.82",""
"2008","Slovakia","Live bovine animals","December","Thousand head (animals)","488.38",""
"2009","Slovakia","Live bovine animals","December","Thousand head (animals)","471.97",""
"2010","Slovakia","Live bovine animals","December","Thousand head (animals)","467.13",""
"2011","Slovakia","Live bovine animals","December","Thousand head (animals)","463.36",""
"2012","Slovakia","Live bovine animals","December","Thousand head (animals)","471.08",""
"2013","Slovakia","Live bovine animals","December","Thousand head (animals)","467.82",""
"2007","Finland","Live bovine animals","December","Thousand head (animals)","902.71",""
"2008","Finland","Live bovine animals","December","Thousand head (animals)","906.87",""
"2009","Finland","Live bovine animals","December","Thousand head (animals)","908.15",""
"2010","Finland","Live bovine animals","December","Thousand head (animals)","908.93",""
"2011","Finland","Live bovine animals","December","Thousand head (animals)","902.68",""
"2012","Finland","Live bovine animals","December","Thousand head (animals)","901.39",""
"2013","Finland","Live bovine animals","December","Thousand head (animals)","903.36",""
"2007","Sweden","Live bovine animals","December","Thousand head (animals)","1,516.65","p"
"2008","Sweden","Live bovine animals","December","Thousand head (animals)","1,505.42",""
"2009","Sweden","Live bovine animals","December","Thousand head (animals)","1,481.98",""
"2010","Sweden","Live bovine animals","December","Thousand head (animals)","1,474.5",""
"2011","Sweden","Live bovine animals","December","Thousand head (animals)","1,449.73",""
"2012","Sweden","Live bovine animals","December","Thousand head (animals)","1,443.58",""
"2013","Sweden","Live bovine animals","December","Thousand head (animals)","1,443.52",""
"2007","United Kingdom","Live bovine animals","December","Thousand head (animals)","10,075",""
"2008","United Kingdom","Live bovine animals","December","Thousand head (animals)","9,911",""
"2009","United Kingdom","Live bovine animals","December","Thousand head (animals)","9,901",""
"2010","United Kingdom","Live bovine animals","December","Thousand head (animals)","9,896",""
"2011","United Kingdom","Live bovine animals","December","Thousand head (animals)","9,675",""
"2012","United Kingdom","Live bovine animals","December","Thousand head (animals)","9,749",""
"2013","United Kingdom","Live bovine animals","December","Thousand head (animals)","9,682",""
"2007","Iceland","Live bovine animals","December","Thousand head (animals)",":",""
"2008","Iceland","Live bovine animals","December","Thousand head (animals)",":",""
"2009","Iceland","Live bovine animals","December","Thousand head (animals)",":",""
"2010","Iceland","Live bovine animals","December","Thousand head (animals)",":",""
"2011","Iceland","Live bovine animals","December","Thousand head (animals)","73.6",""
"2012","Iceland","Live bovine animals","December","Thousand head (animals)","72.8",""
"2013","Iceland","Live bovine animals","December","Thousand head (animals)","73.2",""
"2007","Montenegro","Live bovine animals","December","Thousand head (animals)",":",""
"2008","Montenegro","Live bovine animals","December","Thousand head (animals)",":",""
"2009","Montenegro","Live bovine animals","December","Thousand head (animals)",":",""
"2010","Montenegro","Live bovine animals","December","Thousand head (animals)",":",""
"2011","Montenegro","Live bovine animals","December","Thousand head (animals)",":",""
"2012","Montenegro","Live bovine animals","December","Thousand head (animals)","85",""
"2013","Montenegro","Live bovine animals","December","Thousand head (animals)","89",""
"2007","Former Yugoslav Republic of Macedonia, the","Live bovine animals","December","Thousand head (animals)",":",""
"2008","Former Yugoslav Republic of Macedonia, the","Live bovine animals","December","Thousand head (animals)",":",""
"2009","Former Yugoslav Republic of Macedonia, the","Live bovine animals","December","Thousand head (animals)",":",""
"2010","Former Yugoslav Republic of Macedonia, the","Live bovine animals","December","Thousand head (animals)",":",""
"2011","Former Yugoslav Republic of Macedonia, the","Live bovine animals","December","Thousand head (animals)",":",""
"2012","Former Yugoslav Republic of Macedonia, the","Live bovine animals","December","Thousand head (animals)","251",""
"2013","Former Yugoslav Republic of Macedonia, the","Live bovine animals","December","Thousand head (animals)","238",""
"2007","Serbia","Live bovine animals","December","Thousand head (animals)","1,087",""
"2008","Serbia","Live bovine animals","December","Thousand head (animals)","1,057",""
"2009","Serbia","Live bovine animals","December","Thousand head (animals)","1,002",""
"2010","Serbia","Live bovine animals","December","Thousand head (animals)","938",""
"2011","Serbia","Live bovine animals","December","Thousand head (animals)","937",""
"2012","Serbia","Live bovine animals","December","Thousand head (animals)","921","e"
"2013","Serbia","Live bovine animals","December","Thousand head (animals)","913","p"
"2007","Turkey","Live bovine animals","December","Thousand head (animals)",":",""
"2008","Turkey","Live bovine animals","December","Thousand head (animals)",":",""
"2009","Turkey","Live bovine animals","December","Thousand head (animals)",":",""
"2010","Turkey","Live bovine animals","December","Thousand head (animals)",":",""
"2011","Turkey","Live bovine animals","December","Thousand head (animals)",":",""
"2012","Turkey","Live bovine animals","December","Thousand head (animals)","14,022.35","p"
"2013","Turkey","Live bovine animals","December","Thousand head (animals)","14,532.85","p"
"2007","Bosnia and Herzegovina","Live bovine animals","December","Thousand head (animals)",":",""
"2008","Bosnia and Herzegovina","Live bovine animals","December","Thousand head (animals)",":",""
"2009","Bosnia and Herzegovina","Live bovine animals","December","Thousand head (animals)",":",""
"2010","Bosnia and Herzegovina","Live bovine animals","December","Thousand head (animals)","462",""
"2011","Bosnia and Herzegovina","Live bovine animals","December","Thousand head (animals)","455","e"
"2012","Bosnia and Herzegovina","Live bovine animals","December","Thousand head (animals)","446","e"
"2013","Bosnia and Herzegovina","Live bovine animals","December","Thousand head (animals)","447","e"
